comment,intent,sentiment,lead_score
"troi oi sh rep tin nhan kha nhanh, ung qua troi",other,positive,44
e minh doi kha lau ma cuoi cung lai ship qua lau,complaint,negative,27
mk da nhan hang roi ma form ngoai nho hon mo ta,complaint,negative,25
e don nay vai mong hon minh nghi nen minh khong ung,complaint,negative,20
troi oi minh chot ao thun mau nau size s nha,buying_intent,positive,83
da de lai sdt nhan uu dai soc,spam,negative,9
e len don jup minh 1 cai hoodie mau den,buying_intent,positive,82
da anh chup de nhin do,other,neutral,42
da cho minh hoi 52kg 1m60 mac size gi vua a,consult_request,neutral,65
e can keo tuong tac ib gap,spam,negative,0
e nay con hang khong de minh chuyen khoan luon,buying_intent,positive,82
dam nay chat vai co nong hong shop,consult_request,neutral,45
e admin oi minh nhan dep ma jao sai mau,complaint,negative,5
troi oi ai can tang follow ib minh nha,spam,negative,5
vay mau nay bao nhieu de minh can nhac chot,ask_price,neutral,68
mac di lam thi chon mau nay on hong :),consult_request,neutral,55
troi oi ket ban zalo nhan qua ne,spam,negative,10
tr oi tui nay chat vai co nong hong shop,consult_request,neutral,55
vao kenh tiktok ben mk ung ho voi,spam,negative,0
"e ju cho mk mau nay size l, toi minh chot, dong goi ky",buying_intent,positive,86
tr oi mau nay len live nhin dep hon hinh <3,other,positive,55
ui chan vay nay tam bn vay moi nguoi :(,ask_price,neutral,73
"da nay con hang khong de mk chuyen khoan luon, chat vai on ap",buying_intent,positive,85
e tuyen ctv online lam tai nha,spam,negative,1
da tui mau den size s con ja nao vay,ask_price,neutral,60
da minh da 1m6 52kg thi nen lay size nao,consult_request,neutral,62
da mk da 1m6 52kg thi nen lay size nao,consult_request,neutral,64
"da san pham thuc te giao nham size, minh muon doi tra",complaint,negative,16
that su hoi buc vi giao sai mau,complaint,negative,21
troi oi ad oi 43kg 1m62 mac size gi vua a,consult_request,neutral,60
troi oi cho minh hoi mau nay hop nguoi gay ko,consult_request,neutral,62
ib minh vs 66kg 1m60 mac size gi vua a,consult_request,neutral,55
"ao thun lan nay duong may bi lech, shop ho tro giup minh",complaint,negative,8
xin gia vay chat cotton voi,ask_price,neutral,60
"troi oi ib minh de dat ao thun voi, xinh hon anh",buying_intent,positive,89
"e shop rep tin nhan kha nhanh, dong goi ky",other,neutral,18
"ui nhin feedback thay cung on, ung qua tr",other,neutral,28
de lai sdt nhan uu dai soc haha,spam,negative,6
"ui lan nay mua chua on lam, nhan hang xong hoi that vong",complaint,negative,24
ui follow cheo khong moi nguoi,spam,negative,8
mac di lam thi chon mau nay on khong,consult_request,neutral,57
"minh mua luon hom nay, thanh toan ck dc chu",buying_intent,positive,89
e tu van giup minh giua mau hong voi be nha,consult_request,neutral,59
da xin gia set do chat len voi,ask_price,neutral,64
ui set do nay tam bn vay moi nguoi <3,ask_price,neutral,61
"ui minh dang tham khao them, ship nhanh ghe",other,positive,54
troi oi nhin feedback thay cung on kkk,other,neutral,32
da minh luu bai nay r,other,negative,38
shop oi minh nhan chan vay ma form ngoai nho hon mo ta,complaint,negative,6
moi khui hang ra da thay dong goi so sai,complaint,negative,19
moi khui hang ra da thay form ngoai nho hon mo ta,complaint,negative,14
ket ban zalo nhan qua ne :),spam,negative,3
troi oi vao kenh tiktok ben minh ung ho voi haha,spam,negative,10
da ao so mi nay chat vai co nong ko shop,consult_request,neutral,48
da cho minh xin gia va phi ship luon nha,ask_price,neutral,56
da de cuoi tuan mk quay lai chot,other,positive,51
da moi khui hang ra da thay vai mong hon mk nghi,complaint,negative,24
troi oi minh lay 2 cai duoc khong shop,buying_intent,positive,88
da quan jean nay form rong hay om vay,consult_request,neutral,72
troi oi anh chup de nhin do,other,neutral,21
"e lan nay mua chua on lam, san pham bi ban",complaint,negative,20
ui cho mk xin anh that cua chan vay voi,consult_request,neutral,72
da tu van giup minh giua mau trang vs xanh nha,consult_request,neutral,51
da vao kenh tiktok ben mk ung ho voi,spam,negative,10
da ket ban zalo nhan qua ne :(,spam,negative,5
da sh oi 66kg 1m65 mac size gi vua a,consult_request,neutral,65
dang canh sale nha haha,other,positive,56
pass acc ja re ai lay khong,spam,negative,9
da that su hoi buc vi san pham bi ban,complaint,negative,23
da pass acc ja re ai lay ko,spam,negative,9
ja vay nay nhiu the shop oi <3,ask_price,neutral,71
troi oi combo nay bao nhieu tien vay shop,ask_price,neutral,62
mk doi kha lau ma cuoi cung lai vai mong hon minh nghi,complaint,negative,28
troi oi cho minh dat giao ve ha noi nha,buying_intent,positive,94
tui nay tam bao nhieu vay moi nguoi,ask_price,neutral,66
"hoodie lan nay duong may bi lech, shop ho tro giup minh",complaint,negative,10
troi oi minh doi kha lau ma cuoi cung lai ship qua lau,complaint,negative,26
"e len don giup minh 1 cai quan jean mau do, form dep that kkk",buying_intent,positive,94
da ao khoac mau nay bao nhieu de minh can nhac chot,ask_price,neutral,71
minh doi kha lau ma cuoi cung lai ship qua lau,complaint,negative,18
minh da 1m6 52kg thi nen lay size nao,consult_request,neutral,72
"troi oi dang canh sale nha, mac len ton dang",other,neutral,48
troi oi minh lay 2 cai dc hong sh,buying_intent,positive,89
e nhin feedback thay cung on,other,neutral,19
e cho mk xin gia va phi ship luon nha,ask_price,neutral,58
da mk cao 1m68 nang 59kg thi size l vua chua kkk,consult_request,neutral,65
minh da 1m6 52kg thi nen lay size nao kkk,consult_request,neutral,58
jay sneaker nay tam bao nhieu vay moi nguoi <3,ask_price,neutral,62
troi oi chan vay mau kem size xl con gia nao vay,ask_price,neutral,55
pass acc gia re ai lay khong,spam,negative,1
troi oi quan jean nay chat vai co nong khong sh,consult_request,neutral,53
ao so mi nay chat vai co nong khong shop haha,consult_request,neutral,72
"ui giu cho minh mau nay size xl, toi minh chot, ung qua troi",buying_intent,positive,82
tr oi cho minh hoi mau nay hop nguoi gay khong,consult_request,neutral,53
minh cao 1m68 nang 66kg thi size m vua chua,consult_request,neutral,65
ui ib minh de dat ao so mi voi <3,buying_intent,positive,81
da don nay form ngoai nho hon mo ta nen minh khong ung,complaint,negative,29
pass acc gia re ai lay hong,spam,negative,1
da doc comment thay vui ghe,other,neutral,56
admin oi 62kg 1m70 mac size j vua a kkk,consult_request,neutral,52
tu van giup minh giua mau kem voi do nha,consult_request,neutral,64
hoodie nay chat vai co nong hong shop,consult_request,neutral,70
da ao so mi nay chat vai co nong khong shop,consult_request,neutral,51
ui minh lay 2 cai duoc hong sh,buying_intent,positive,87
follow cheo hong moi nguoi,spam,negative,4
"e bo nay phoi don gian ma xinh, chat vai on ap",other,negative,29
"da minh lay 2 cai dc khong shop, chat vai on ap",buying_intent,neutral,86
"e bo nay phoi don gian ma xinh, ung qua tr",other,neutral,27
da gia ao thun nay nhiu the shop oi,ask_price,neutral,71
"hoodie lan nay giao nham size, shop ho tro giup minh",complaint,negative,21
"e cho minh dat giao ve can tho nha, form dep that",buying_intent,positive,92
da pass acc gia re ai lay ko,spam,negative,3
dep mau nay bn de minh can nhac chot haha,ask_price,neutral,58
"minh luu bai nay roi, dung mau minh can",other,positive,39
"troi oi minh mua luon hom nay, thanh toan ck dc chu",buying_intent,positive,87
e dang canh sale nha,other,neutral,57
vao kenh tiktok ben minh ung ho voi,spam,negative,9
e mac di lam thi chon mau nay on khong,consult_request,neutral,56
hoodie nay tam bao nhieu vay moi nguoi,ask_price,neutral,62
"e doc comment thay vui ghe, ung qua troi",other,neutral,35
da len don giup minh 1 cai tui mau trang :(,buying_intent,neutral,95
"e mau nay len live nhin dep hon hinh, ship nhanh ghe",other,positive,42
"bo nay phoi don jan ma xinh, form dep that",other,neutral,42
troi oi follow cheo ko moi nguoi,spam,negative,5
"e giu cho minh mau nay size xl, toi minh chot, ship nhanh ghe",buying_intent,positive,96
mk cao 1m60 nang 62kg thi size xl vua chua :(,consult_request,neutral,58
nhin feedback thay cung on <3,other,positive,21
e moi khui hang ra da thay jao nham size :),complaint,negative,22
e bo nay phoi don gian ma xinh,other,negative,34
da can keo tuong tac ib gap,spam,negative,8
e quan jean mau nay bao nhieu de mk can nhac chot,ask_price,neutral,58
"dam lan nay form ngoai nho hon mo ta, sh ho tro giup minh",complaint,negative,21
ui vao kenh tiktok ben mk ung ho vs <3,spam,negative,6
e nen lay mau nao de phoi do hon vay kkk,consult_request,neutral,53
troi oi mau nay sale con nhieu ko a <3,ask_price,neutral,73
"ui giu cho minh mau nay size m, toi minh chot, ship nhanh ghe",buying_intent,positive,83
"ui minh ung mau nay r, shop chot don giup",buying_intent,neutral,87
ui ai can tang follow ib minh nha :),spam,negative,6
da con hang thi len don giup minh luon nha,buying_intent,positive,86
nen lay mau nao de phoi do hon vay,consult_request,neutral,66
minh chot jay sneaker mau xanh size m nha kkk,buying_intent,positive,91
ui ai can tang follow ib mk nha kkk,spam,negative,6
da cho minh xin anh that cua dep voi,consult_request,neutral,46
e minh doi kha lau ma cuoi cung lai vai mong hon minh nghi,complaint,negative,24
"troi oi dam lan nay dong goi so sai, shop ho tro giup minh",complaint,negative,11
"ui lan nay mua chua on lam, san pham bi ban",complaint,negative,11
"e ib minh de dat giay sneaker voi, dung mau minh can",buying_intent,neutral,93
ui nen lay mau nao de phoi do hon vay,consult_request,neutral,47
"ui mk chot dep mau hong size l nha, ship nhanh ghe <3",buying_intent,positive,96
tu van jup minh giua mau trang voi xam nha kkk,consult_request,neutral,57
ja set do nay nhiu the shop oi,ask_price,neutral,62
troi oi shop rep giup minh 59kg 1m68 mac size gi vua a,consult_request,neutral,66
"san pham thuc te jao nham size, minh muon doi tra :(",complaint,negative,17
troi oi follow cheo khong moi nguoi :(,spam,negative,4
"troi oi lan nay mua chua on lam, nhan hang xong hoi that vong <3",complaint,negative,18
"troi oi ib minh de dat dam voi, dung mau minh can",buying_intent,positive,96
inbox mk nha 66kg 1m58 mac size j vua a,consult_request,neutral,72
"mk mua luon hom nay, thanh toan ck duoc chu",buying_intent,positive,84
mk da nhan hang r ma nhan hang xong hoi that vong,complaint,negative,20
ui nen lay mau nao de phoi do hon vay kkk,consult_request,neutral,59
tuyen ctv online lam tai nha kkk,spam,negative,0
tr oi cho minh xin gia va phi ship luon nha,ask_price,neutral,55
da pass acc gia re ai lay ko <3,spam,negative,7
da minh doi kha lau ma cuoi cung lai giao sai mau,complaint,negative,13
da nen lay mau nao de phoi do hon vay <3,consult_request,neutral,62
"da dep lan nay ship sai mau, shop ho tro giup mk haha",complaint,negative,23
minh luu bai nay roi haha,other,neutral,31
mau nay sale con nhieu ko a :),ask_price,neutral,72
"e doc comment thay vui ghe, dong goi ky",other,positive,21
len don giup mk 1 cai ao so mi mau do,buying_intent,positive,90
"minh mua luon hom nay, thanh toan cod duoc chu, dung mau minh can",buying_intent,positive,82
combo nay bao nhieu tien vay sh,ask_price,neutral,67
e cho minh dat ship ve tphcm nha :),buying_intent,positive,93
"doc comment thay vui ghe, form dep that",other,neutral,43
troi oi mau nay sale con nhieu khong a,ask_price,neutral,61
"ui minh mua luon hom nay, thanh toan cod duoc chu <3",buying_intent,positive,84
e con hang thi len don jup minh luon nha,buying_intent,positive,96
ui mau nay sale con nhieu ko a,ask_price,neutral,64
da minh chot hoodie mau xam size m nha,buying_intent,positive,80
tr oi can keo tuong tac ib gap,spam,negative,5
e xin gia ao khoac chat jean voi,ask_price,neutral,60
da that su hoi buc vi vai mong hon minh nghi,complaint,negative,7
xin gia ao so mi chat jean voi,ask_price,neutral,61
de cuoi tuan minh quay lai chot <3,other,neutral,47
da mau nay sale con nhieu khong a,ask_price,neutral,67
ib minh voi vay mau hong gia bao nhieu duoc khong haha,ask_price,neutral,74
len don giup minh 1 cai ao so mi mau hong,buying_intent,positive,87
minh da nhan hang roi ma dong goi so sai,complaint,negative,25
moi khui hang ra da thay giao sai mau,complaint,negative,17
ib minh de dat set do voi :),buying_intent,positive,81
mk luu bai nay roi :),other,neutral,36
can keo tuong tac ib gap <3,spam,negative,8
vao kenh tiktok ben mk ung ho voi :(,spam,negative,7
pass acc ja re ai lay hong,spam,negative,0
ui cho mk hoi mau nay hop nguoi gay ko,consult_request,neutral,53
e follow cheo ko moi nguoi kkk,spam,negative,4
troi oi vao kenh tiktok ben minh ung ho voi :),spam,negative,9
e shop oi 59kg 1m60 mac size gi vua a :),consult_request,neutral,62
e tu van jup minh giua mau hong voi nau nha :),consult_request,neutral,69
troi oi jay sneaker nay form rong hay om vay,consult_request,neutral,63
e mac di lam thi chon mau nay on ko,consult_request,neutral,59
mac di lam thi chon mau nay on hong,consult_request,neutral,45
e ao so mi nay tam bao nhieu vay moi nguoi,ask_price,neutral,57
sh rep tin nhan kha nhanh kkk,other,neutral,49
set do nay form rong hay om vay,consult_request,neutral,66
e cho minh xin gia va phi ship luon nha,ask_price,neutral,71
e mk da 1m6 52kg thi nen lay size nao haha,consult_request,neutral,59
da ib minh de dat dam voi,buying_intent,positive,91
troi oi ao so mi mau nay bn de minh can nhac chot :),ask_price,neutral,70
quan jean mau xam size xl con gia nao vay,ask_price,neutral,63
"bo nay phoi don gian ma xinh, dong goi ky",other,neutral,51
"anh chup de nhin do, mac len ton dang",other,negative,28
cho minh xin gia va phi ship luon nha,ask_price,neutral,62
troi oi ib minh voi chan vay mau kem gia bao nhieu voi,ask_price,neutral,72
e de lai sdt nhan uu dai soc,spam,negative,5
e chan vay nay tam bn vay moi nguoi,ask_price,neutral,55
tuyen ctv online lam tai nha,spam,negative,0
"e dang canh sale nha, dong goi ky",other,neutral,38
troi oi minh da nhan hang roi ma duong may bi lech :(,complaint,negative,30
tr oi moi khui hang ra da thay jao sai mau,complaint,negative,18
"e san pham thuc te ship sai mau, minh muon doi tra",complaint,negative,10
con hang thi len don giup minh luon nha,buying_intent,positive,95
minh chot giay sneaker mau den size s nha,buying_intent,positive,92
e de cuoi tuan minh quay lai chot,other,neutral,54
da cho mk xin ja va phi ship luon nha,ask_price,neutral,61
ui ao thun mau nay bao nhieu de minh can nhac chot,ask_price,neutral,70
da minh luu bai nay roi,other,neutral,23
"chan vay lan nay san pham bi ban, shop ho tro jup minh",complaint,negative,16
da mau nay sale con nhieu ko a,ask_price,neutral,56
tu van giup mk giua mau nau voi den nha,consult_request,neutral,67
ui minh dang tham khao them :),other,neutral,46
ui moi khui hang ra da thay duong may bi lech,complaint,negative,9
ui len don giup minh 1 cai ao so mi mau xanh,buying_intent,positive,86
"troi oi giu cho mk mau nay size xl, toi minh chot",buying_intent,neutral,80
e combo nay bao nhieu tien vay shop,ask_price,neutral,56
ui minh cao 1m68 nang 64kg thi size s vua chua,consult_request,neutral,51
da ib minh de dat quan jean voi,buying_intent,positive,91
"minh chot chan vay mau xam size l nha, ship nhanh ghe",buying_intent,positive,79
da inbox minh nha dam mau nau ja bao nhieu giup minh nha :),ask_price,neutral,68
troi oi tu van giup minh giua mau trang voi nau nha,consult_request,neutral,51
gia hoodie nay nhiu the shop oi,ask_price,neutral,74
cho mk xin ja va phi ship luon nha :),ask_price,neutral,69
e follow cheo khong moi nguoi,spam,negative,4
ui mau nay len live nhin dep hon hinh kkk,other,negative,20
troi oi len don jup minh 1 cai chan vay mau xam,buying_intent,positive,98
mk da nhan hang roi ma jao sai mau,complaint,negative,20
"minh lay 2 cai duoc hong shop, mac len ton dang kkk",buying_intent,positive,97
tr oi vao kenh tiktok ben minh ung ho voi,spam,negative,9
"da bo nay phoi don gian ma xinh, form dep that",other,positive,39
"e minh mua luon hom nay, thanh toan ck duoc chu",buying_intent,positive,85
ui tuyen ctv online lam tai nha,spam,negative,5
e minh da nhan hang roi ma ship sai mau,complaint,negative,20
"da dang canh sale nha, mac len ton dang",other,neutral,32
"da lan nay mua chua on lam, ship qua lau",complaint,negative,18
ui set do nay form rong hay om vay,consult_request,neutral,64
troi oi vay nay tam bao nhieu vay moi nguoi,ask_price,neutral,55
troi oi ja vay nay nhiu the shop oi,ask_price,neutral,75
da pass acc gia re ai lay khong <3,spam,negative,9
ui con hang thi len don jup minh luon nha,buying_intent,positive,97
"da de cuoi tuan mk quay lai chot, ship nhanh ghe :)",other,negative,21
e cho mk dat ship ve hai phong nha,buying_intent,positive,86
da cho mk xin anh that cua ao thun voi :(,consult_request,neutral,45
mk lay 2 cai duoc ko shop,buying_intent,positive,81
e cho mk xin anh that cua ao thun voi <3,consult_request,neutral,70
da cho minh xin anh that cua ao so mi voi,consult_request,neutral,61
tu van giup minh giua mau hong voi trang nha,consult_request,neutral,51
e shop rep tin nhan kha nhanh kkk,other,negative,51
ui len don giup minh 1 cai giay sneaker mau kem,buying_intent,neutral,92
ui doc comment thay vui ghe,other,positive,31
"da san pham thuc te ship sai mau, mk muon doi tra",complaint,negative,10
e nay con hang hong de mk chuyen khoan luon,buying_intent,positive,86
tu van giup minh giua mau be voi kem nha,consult_request,neutral,50
ui ib minh de dat set do vs,buying_intent,positive,85
tr oi xin gia chan vay chat thun vs,ask_price,neutral,70
troi oi mk doi kha lau ma cuoi cung lai duong may bi lech,complaint,negative,6
"ui minh mua luon hom nay, thanh toan ck duoc chu, chat vai on ap haha",buying_intent,positive,84
da set do mau kem size m con gia nao vay,ask_price,neutral,61
"lan nay mua chua on lam, nhan hang xong hoi that vong",complaint,negative,13
"troi oi giu cho minh mau nay size xl, toi minh chot, form dep that",buying_intent,positive,88
da ao khoac mau nau size s con gia nao vay,ask_price,neutral,59
ui minh da nhan hang roi ma vai mong hon minh nghi,complaint,negative,15
ui mau nay len live nhin dep hon hinh,other,negative,58
"tr oi doc comment thay vui ghe, xinh hon anh",other,neutral,30
tu van giup mk giua mau den voi be nha,consult_request,neutral,46
da minh lay 2 cai dc hong shop :),buying_intent,positive,89
troi oi cho mk xin anh that cua giay sneaker voi,consult_request,neutral,52
tr oi nhin feedback thay cung on,other,neutral,58
da tu van giup minh giua mau hong voi xanh nha,consult_request,neutral,67
troi oi de cuoi tuan minh quay lai chot kkk,other,neutral,53
minh cao 1m58 nang 54kg thi size s vua chua kkk,consult_request,neutral,61
xin gia quan jean chat len voi,ask_price,neutral,71
"ui cho mk dat giao ve tphcm nha, ung qua troi",buying_intent,neutral,86
ao so mi mau nay bao nhieu de mk can nhac chot,ask_price,neutral,64
ui ib minh voi minh nhan dep ma vai mong hon minh nghi,complaint,negative,20
vao kenh tiktok ben minh ung ho voi <3,spam,negative,7
troi oi nhin feedback thay cung on,other,positive,32
"e lan nay mua chua on lam, dong goi so sai",complaint,negative,29
da cho minh hoi mau nay hop nguoi gay ko haha,consult_request,neutral,50
troi oi mau nay len live nhin dep hon hinh,other,negative,26
don nay duong may bi lech nen minh khong ung <3,complaint,negative,30
"mk mua luon hom nay, thanh toan ck dc chu, ung qua troi",buying_intent,positive,93
e minh da 1m6 52kg thi nen lay size nao :),consult_request,neutral,50
troi oi follow cheo khong moi nguoi,spam,negative,7
"lan nay mua chua on lam, dong goi so sai",complaint,negative,7
don nay giao sai mau nen minh khong ung,complaint,negative,17
follow cheo khong moi nguoi,spam,negative,7
